Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
Q9NS98	ENSG00000010319	7	SEMA3G	protein_coding	ensembl_havana	chr3:52433035-52445103:-	7.808710004	0.637492363	0.344968485	0.006551114	0.013173465	yes	2975	15739	8463	15739	7.808710004	1.765770624	0.362603736	6.32E-09	1.75E-08	yes	382	15739	5172	15739	7.808710004	0.129457731	0.307800989	0.57600541	0.417410464	no	17383	15739	16554	17383	7.808710004	-0.488257371	0.717967369	0.210378355	0.274472027	no	10551	15739	13692	15739	7.808710004	-0.228765656	0.614602146	0.584924997	0.54770856	no	17465	15739	17658	17658
Q9NSD5	ENSG00000010379	16	SLC6A13	protein_coding	ensembl_havana	chr12:220621-262873:-	10.07361135	1.104956024	0.449578287	0.000179333	0.000371472	yes	857	15151	6270	15151	10.07361135	0.215822807	0.358815703	0.407091641	0.362338859	no	14349	15151	16109	16109	10.07361135	-0.076410895	0.351776583	0.750250092	0.658905021	no	20293	15151	19270	20293	10.07361135	2.739884227	0.563480552	1.38E-09	4.69E-09	yes	318	15151	4293	15151	10.07361135	1.141874698	0.53257293	0.005834077	0.009446823	yes	3405	15151	9450	15151
P98182	ENSG00000010539	11	ZNF200	protein_coding	ensembl_havana	chr16:3222325-3236221:-	204.000965	1.065080667	0.102377602	7.36E-27	1.50E-25	yes	942	7545	1209	7545	204.000965	0.712700552	0.10511601	2.69E-12	2.95E-11	yes	4122	7545	4271	7545	204.000965	0.544117106	0.105303026	8.77E-08	4.34E-07	yes	5312	7545	5275	7545	204.000965	2.316149091	0.132335769	3.89E-71	1.78E-69	yes	481	7545	724	7545	204.000965	2.271799699	0.123656835	9.94E-78	4.63E-76	yes	514	7545	752	7545
P31629	ENSG00000010818	10	HIVEP2	protein_coding	ensembl_havana	chr6:142751469-142956698:-	904.1279293	0.650159474	0.084655775	2.13E-15	1.95E-14	yes	2851	2319	2259	2851	904.1279293	0.117786873	0.085315162	0.155955044	0.329459725	no	18496	2319	15706	18496	904.1279293	0.110693163	0.085040764	0.184256667	0.491471012	no	18366	2319	17445	18366	904.1279293	2.857785019	0.090001074	3.35E-224	1.46E-221	yes	282	2319	157	2319	904.1279293	2.587078329	0.08917053	1.66E-188	4.38E-186	yes	349	2319	188	2319
Q92782	ENSG00000011332	19	DPF1	protein_coding	ensembl_havana	chr19:38211006-38229714:-	16.53386896	0.168904617	0.314923911	0.396678564	0.358942731	no	13297	14096	14306	14306	16.53386896	1.464379548	0.421358252	7.49E-06	1.77E-05	yes	703	14096	6760	14096	16.53386896	2.026788154	0.417909346	4.86E-09	1.66E-08	yes	169	14096	4630	14096	16.53386896	3.460989577	0.508279457	8.95E-15	4.13E-14	yes	181	14096	3158	14096	16.53386896	2.504683664	0.541061978	3.29E-09	9.44E-09	yes	390	14096	5207	14096
Q03405	ENSG00000011422	12	PLAUR	protein_coding	ensembl_havana	chr19:43646095-43670547:-	959.5234777	-0.175896723	0.058564737	0.002168436	0.005762748	yes	12970	2169	7802	12970	959.5234777	0.187867696	0.057994173	0.001055496	0.004017514	yes	15433	2169	9143	15433	959.5234777	0.224385541	0.057707931	8.69E-05	0.000540585	yes	13255	2169	7505	13255	959.5234777	2.425243274	0.064482806	0	0	yes	430	2169	1	2169	959.5234777	1.615039962	0.067386804	5.32E-128	7.26E-126	yes	1382	2169	363	2169
Q9NXS2	ENSG00000011478	12	QPCTL	protein_coding	ensembl_havana	chr19:45692666-45703989:+	203.2186332	-0.594138264	0.068287973	5.09E-19	7.36E-18	yes	3400	7560	1825	7560	203.2186332	-0.581433391	0.06864245	8.81E-18	1.31E-16	yes	5674	7560	3071	7560	203.2186332	-0.067144414	0.064378692	0.291511048	0.456805571	no	20911	7560	17022	20911	203.2186332	-0.73517542	0.147648868	3.67E-07	2.46E-06	yes	6582	7560	5322	7560	203.2186332	-1.531386422	0.167226766	5.63E-21	7.32E-20	yes	1615	7560	2938	7560
Q76N32	ENSG00000011523	14	CEP68	protein_coding	ensembl_havana	chr2:65056366-65087004:+	145.4026506	-1.79906441	0.105739037	1.54E-67	1.08E-65	yes	217	8751	329	8751	145.4026506	-0.839392637	0.091567391	7.02E-21	8.49E-20	yes	3039	8751	2676	8751	145.4026506	-0.179390398	0.0834233	0.028366155	0.098885252	yes	15102	8751	12221	15102	145.4026506	-0.289086975	0.162311538	0.067995429	0.194745907	no	15216	8751	12682	15216	145.4026506	0.309389175	0.124943812	0.012141262	0.02913142	yes	15281	8751	10467	15281
Q8IVH8	ENSG00000011566	15	MAP4K3	protein_coding	ensembl_havana	chr2:39249266-39437301:-	656.6377714	-0.238903722	0.060564444	5.43E-05	0.000241968	yes	10398	3210	6092	10398	656.6377714	-0.086621733	0.0605581	0.145101319	0.40900911	no	20102	3210	16679	20102	656.6377714	0.450464157	0.058406898	6.59E-15	1.09E-13	yes	7001	3210	3222	7001	656.6377714	1.655970647	0.074058414	3.24E-112	5.48E-110	yes	1168	3210	411	3210	656.6377714	1.280441043	0.07321882	3.93E-69	2.41E-67	yes	2603	3210	883	3210
Q96B96	ENSG00000011638	10	TMEM159	protein_coding	ensembl_havana	chr16:21158377-21180616:+	490.2165335	-1.064111478	0.050044025	8.03E-102	1.45E-99	yes	943	4199	163	4199	490.2165335	-1.661152233	0.05514669	3.66E-201	2.37E-198	yes	467	4199	79	4199	490.2165335	-0.934884615	0.049891376	9.95E-80	1.44E-77	yes	1914	4199	328	4199	490.2165335	-0.813594922	0.098425587	7.15E-17	1.66E-15	yes	5646	4199	2948	5646	490.2165335	0.256662868	0.066737532	0.000113497	0.000547465	yes	16701	4199	7856	16701
Q96RI1	ENSG00000012504	15	NR1H4	protein_coding	ensembl_havana	chr12:100473708-100564414:+	143.412826	-1.811501096	0.109729081	7.74E-64	5.18E-62	yes	211	8806	362	8806	143.412826	-2.851189525	0.1347905	1.17E-101	1.23E-99	yes	61	8806	308	8806	143.412826	-1.515186498	0.105606555	3.65E-48	2.05E-46	yes	523	8806	759	8806	143.412826	-0.438622196	0.166252953	0.006782131	0.02333872	yes	11574	8806	9259	11574	143.412826	0.769007366	0.115611835	1.72E-11	9.79E-11	yes	6919	8806	4574	8806
P09917	ENSG00000012779	11	ALOX5	protein_coding	ensembl_havana	chr10:45374176-45446119:+	143.089636	-0.475418881	0.078471089	3.23E-10	2.36E-09	yes	4779	8819	3381	8819	143.089636	-0.542466063	0.079384791	3.39E-12	2.07E-11	yes	6270	8819	4225	8819	143.089636	-0.887391049	0.083376577	1.04E-27	2.38E-26	yes	2145	8819	1670	8819	143.089636	-1.122264469	0.186268479	4.14E-10	3.48E-09	yes	3057	8819	4246	8819	143.089636	-2.099783348	0.227384748	2.79E-22	2.55E-21	yes	641	8819	2765	8819
Q9P1Z2	ENSG00000012822	16	CALCOCO1	protein_coding	ensembl_havana	chr12:53708517-53727745:-	230.0298501	-1.015497921	0.069273418	4.98E-50	2.33E-48	yes	1065	7095	527	7095	230.0298501	-1.520657287	0.073776585	5.91E-96	8.01E-94	yes	614	7095	339	7095	230.0298501	-1.787604544	0.07629626	4.37E-123	9.88E-121	yes	310	7095	170	7095	230.0298501	-1.426832943	0.149091895	9.54E-23	1.05E-21	yes	1758	7095	2280	7095	230.0298501	-1.536621122	0.135331966	7.50E-31	1.26E-29	yes	1596	7095	2118	7095
Q9Y5A7	ENSG00000013374	16	NUB1	protein_coding	ensembl_havana	chr7:151341699-151378449:+	676.559236	-0.193985537	0.051241207	0.000119566	0.000507073	yes	12167	3130	6397	12167	676.559236	-0.338449895	0.05269512	9.58E-11	9.62E-10	yes	10574	3130	4726	10574	676.559236	-0.285556464	0.05231567	3.79E-08	3.97E-07	yes	11194	3130	5253	11194	676.559236	1.457770786	0.065834406	9.93E-110	7.77E-108	yes	1672	3130	424	3130	676.559236	0.636826592	0.070887773	1.86E-19	2.25E-18	yes	8696	3130	3126	8696
P49759	ENSG00000013441	16	CLK1	protein_coding	ensembl_havana	chr2:200853009-200864744:-	480.5996275	-0.273613271	0.137397599	0.026582045	0.069321595	yes	9236	4283	10403	10403	480.5996275	-0.617669895	0.144482862	5.92E-06	4.00E-05	yes	5236	4283	7028	7028	480.5996275	-0.31435691	0.138929135	0.016759391	0.075873686	yes	10304	4283	11748	11748	480.5996275	1.593606297	0.152739446	7.69E-27	1.20E-25	yes	1296	4283	1961	4283	480.5996275	1.794628864	0.148083533	3.75E-35	9.45E-34	yes	1022	4283	1856	4283
P40925	ENSG00000014641	20	MDH1	protein_coding	ensembl_havana	chr2:63588609-63607197:+	1106.756047	-0.082781288	0.044928492	0.062307393	0.149787085	no	18234	1826	11835	18234	1106.756047	0.021982799	0.044917262	0.620122698	1	no	25562	1826	20364	25562	1106.756047	0.087242551	0.045040623	0.051451009	0.172757498	no	19653	1826	13383	19653	1106.756047	-1.104459781	0.083510988	1.72E-40	5.97E-39	yes	3149	1826	1334	3149	1106.756047	-1.800233965	0.089675778	5.58E-91	4.43E-89	yes	1015	1826	628	1826
Q99666	ENSG00000015568	13	RGPD5	protein_coding	ensembl_havana	chr2:109792758-109857705:+	164.1892955	0.358938859	0.103124623	0.000204383	0.000750487	yes	6896	8351	6592	8351	164.1892955	0.447390247	0.10351749	8.35E-06	4.49E-05	yes	8005	8351	7078	8351	164.1892955	0.33864641	0.103555218	0.00074404	0.00279202	yes	9616	8351	8411	9616	164.1892955	2.123631592	0.134321847	1.28E-58	4.52E-57	yes	619	8351	904	8351	164.1892955	1.815212391	0.130029177	1.15E-45	2.12E-44	yes	981	8351	1410	8351
Q9H169	ENSG00000015592	16	STMN4	protein_coding	ensembl_havana	chr8:27235323-27258420:-	3.402165186	0.23065617	0.530377412	0.156791925	0.200261039	no	10699	17867	12536	17867	3.402165186	0.295843115	0.615376403	0.20303001	0.160501179	no	11781	17867	13617	17867	3.402165186	0.136412883	0.549937171	0.47019472	0.354147943	no	17028	17867	15782	17867	3.402165186	1.494255819	1.291711956	0.003451048	0.005887019	yes	1558	17867	8196	17867	3.402165186	4.123972932	1.717157865	9.31E-06	1.84E-05	yes	117	17867	6675	17867
P61371	ENSG00000016082	15	ISL1	protein_coding	ensembl_havana	chr5:51383448-51394730:+	134.5001789	-0.878024494	0.116435696	3.33E-15	3.56E-14	yes	1497	9022	2316	9022	134.5001789	-0.415118299	0.10806311	7.17E-05	0.000347211	yes	8684	9022	7851	9022	134.5001789	0.281388892	0.09820044	0.003231559	0.012902722	yes	11327	9022	9624	11327	134.5001789	1.388861791	0.145057885	1.06E-22	1.48E-21	yes	1902	9022	2291	9022	134.5001789	1.562402559	0.127684706	1.96E-35	2.74E-34	yes	1515	9022	1818	9022
Q96PE1	ENSG00000020181	18	ADGRA2	protein_coding	ensembl_havana	chr8:37784191-37844896:+	52.96405987	-0.729869465	0.135297049	7.02E-09	3.24E-08	yes	2232	11575	3765	11575	52.96405987	-0.685601086	0.13501968	9.35E-08	4.31E-07	yes	4421	11575	5814	11575	52.96405987	-0.535640808	0.130218687	1.45E-05	3.92E-05	yes	5449	11575	6491	11575	52.96405987	-1.537571856	0.419303779	1.13E-05	3.35E-05	yes	1443	11575	6003	11575	52.96405987	0.42334972	0.1860388	0.019185899	0.032276612	yes	12603	11575	10583	12603
Q13761	ENSG00000020633	18	RUNX3	protein_coding	ensembl_havana	chr1:24899511-24965121:-	30.82667573	1.267003625	0.280500473	5.33E-08	2.18E-07	yes	576	12787	4103	12787	30.82667573	1.312262753	0.270129039	4.05E-08	1.12E-07	yes	988	12787	5541	12787	30.82667573	1.172466493	0.280518309	6.97E-07	2.20E-06	yes	1105	12787	5665	12787	30.82667573	2.224301757	0.372441901	8.65E-12	4.14E-11	yes	541	12787	3734	12787	30.82667573	2.528360298	0.333051584	2.03E-17	1.08E-16	yes	378	12787	3377	12787
Q9UF11	ENSG00000021300	14	PLEKHB1	protein_coding	ensembl_havana	chr11:73646178-73662819:+	810.8763326	-0.082407687	0.038599706	0.0312882	0.076984076	yes	18266	2611	10561	18266	810.8763326	-0.126582109	0.039234158	0.001151305	0.006407627	yes	18060	2611	9456	18060	810.8763326	-0.121137566	0.039100533	0.00186422	0.009323563	yes	17789	2611	9331	17789	810.8763326	-1.627259074	0.102736274	6.41E-58	3.24E-56	yes	1223	2611	919	2611	810.8763326	-2.008338505	0.100929861	8.22E-90	6.39E-88	yes	710	2611	641	2611
Q13489	ENSG00000023445	16	BIRC3	protein_coding	ensembl_havana	chr11:102317450-102339403:+	617.6971037	-1.321093282	0.077255321	9.77E-68	8.82E-66	yes	504	3410	326	3410	617.6971037	-1.525056534	0.079492654	1.33E-83	1.45E-81	yes	607	3410	434	3410	617.6971037	-0.833172094	0.074239409	2.41E-30	7.75E-29	yes	2436	3410	1476	3410	617.6971037	1.703342168	0.080702482	1.88E-100	1.30E-98	yes	1085	3410	480	3410	617.6971037	1.55069516	0.077972136	5.43E-89	4.54E-87	yes	1548	3410	647	3410
Q16533	ENSG00000023608	5	SNAPC1	protein_coding	ensembl_havana	chr14:61762420-61796428:+	211.9562959	0.973949312	0.083887839	1.89E-32	4.84E-31	yes	1168	7404	964	7404	211.9562959	0.709135642	0.085870897	3.36E-17	4.86E-16	yes	4157	7404	3164	7404	211.9562959	0.151857187	0.088687322	0.080141843	0.219242234	no	16300	7404	14060	16300	211.9562959	1.010393807	0.138208358	9.01E-14	8.82E-13	yes	3801	7404	3389	7404	211.9562959	1.550660926	0.112705317	4.67E-44	1.16E-42	yes	1549	7404	1467	7404
Q92887	ENSG00000023839	12	ABCC2	protein_coding	ensembl_havana	chr10:99782640-99852594:+	13.96551098	0.643161323	0.29723545	0.00327925	0.005489111	yes	2916	14434	7759	14434	13.96551098	0.685839661	0.296482704	0.004631546	0.007015047	yes	4418	14434	9520	14434	13.96551098	0.47604012	0.282289708	0.03410284	0.048578004	yes	6497	14434	11093	14434	13.96551098	1.659044563	0.43230607	3.56E-06	9.15E-06	yes	1161	14434	5668	14434	13.96551098	0.278549466	0.47389319	0.470758873	0.41537166	no	16070	14434	16226	16226
Q8IWP9	ENSG00000024862	17	CCDC28A	protein_coding	ensembl_havana	chr6:138773509-138793319:+	46.56740757	-0.512514589	0.125066216	8.49E-06	3.18E-05	yes	4291	11877	5369	11877	46.56740757	-1.241197101	0.140579114	5.59E-20	5.42E-19	yes	1155	11877	2769	11877	46.56740757	-1.135158624	0.140054088	1.28E-17	8.52E-17	yes	1184	11877	2676	11877	46.56740757	-1.682601019	0.410995267	1.13E-06	3.71E-06	yes	1120	11877	5432	11877	46.56740757	-0.789615247	0.243018171	0.000628942	0.001354004	yes	6647	11877	8270	11877
P19971	ENSG00000025708	14	TYMP	protein_coding	ensembl_havana	chr22:50525752-50530032:-	311.9683545	-0.291995988	0.078949721	0.000119872	0.000531104	yes	8646	5914	6422	8646	311.9683545	-0.430690921	0.081692821	7.69E-08	6.15E-07	yes	8349	5914	5885	8349	311.9683545	-0.300626082	0.079873047	0.000126803	0.000497096	yes	10731	5914	7465	10731	311.9683545	2.031045376	0.094641162	2.42E-104	1.75E-102	yes	698	5914	458	5914	311.9683545	1.667092522	0.093041194	6.17E-73	2.68E-71	yes	1270	5914	817	5914
P25445	ENSG00000026103	22	FAS	protein_coding	ensembl_havana	chr10:88990531-89017059:+	67.15827585	-0.453403674	0.171196273	0.002140002	0.006536944	yes	5086	11038	7898	11038	67.15827585	-0.717689256	0.181640805	1.68E-05	6.16E-05	yes	4074	11038	7184	11038	67.15827585	-0.071165322	0.157351622	0.627815206	0.599074304	no	20649	11038	18714	20649	67.15827585	1.135130723	0.230884833	2.00E-07	6.70E-07	yes	2989	11038	5081	11038	67.15827585	2.160493576	0.182506632	2.05E-34	2.53E-33	yes	598	11038	1883	11038
P16070	ENSG00000026508	19	CD44	protein_coding	ensembl_havana	chr11:35138870-35232402:+	11313.2157	0.026948323	0.036271619	0.454127737	0.712397018	no	23191	66	18138	23191	11313.2157	0.113733999	0.03651398	0.001698989	0.00964286	yes	18695	66	9770	18695	11313.2157	0.399634314	0.036387076	2.88E-28	1.05E-26	yes	8094	66	1642	8094	11313.2157	-1.09067129	0.04310855	9.05E-142	1.99E-139	yes	3247	66	311	3247	11313.2157	-1.522033111	0.043142886	1.42E-273	8.96E-271	yes	1634	66	84	1634
Q9UIX4	ENSG00000026559	14	KCNG1	protein_coding	ensembl_havana	chr20:51003656-51023107:-	4.280656033	0.110890738	0.392013263	0.556162605	0.546775257	no	16398	17271	16286	17271	4.280656033	0.274902264	0.476823769	0.316242767	0.224915645	no	12397	17271	14464	17271	4.280656033	0.211109718	0.448392656	0.3853204	0.31080491	no	13761	17271	15214	17271	4.280656033	0.158198503	0.706716318	0.666272579	0.593301094	no	19480	17271	17193	19480	4.280656033	3.218357706	0.920632604	1.85E-07	4.52E-07	yes	211	17271	5864	17271
Q9NQ25	ENSG00000026751	17	SLAMF7	protein_coding	ensembl_havana	chr1:160739057-160754821:+	30.83326024	2.25233963	0.302118101	5.92E-16	4.62E-15	yes	115	12785	2152	12785	30.83326024	2.952741121	0.292312758	2.40E-26	1.65E-25	yes	49	12785	2078	12785	30.83326024	3.484770887	0.28607752	1.14E-36	1.81E-35	yes	15	12785	1131	12785	30.83326024	0.754062747	0.484711107	0.047583449	0.076433561	yes	6329	12785	10773	12785	30.83326024	1.070770945	0.437318231	0.003731121	0.006096812	yes	3908	12785	9129	12785
P20333	ENSG00000028137	19	TNFRSF1B	protein_coding	ensembl_havana	chr1:12166991-12209228:+	69.37600131	-0.438451853	0.136637104	0.000376712	0.000993031	yes	5365	10972	6735	10972	69.37600131	-1.093458695	0.15618727	1.80E-13	1.22E-12	yes	1654	10972	3889	10972	69.37600131	-1.635910253	0.174319209	1.52E-22	1.27E-21	yes	407	10972	2093	10972	69.37600131	0.428736114	0.224401025	0.045085482	0.089543698	yes	11793	10972	11043	11793	69.37600131	1.817043072	0.15371738	1.25E-33	1.17E-32	yes	978	10972	1929	10972
Q9UKS7	ENSG00000030419	16	IKZF2	protein_coding	ensembl_havana	chr2:212999691-213152427:-	250.9409433	-0.093958868	0.087275318	0.260832528	0.429373626	no	17450	6766	15006	17450	250.9409433	-1.089560727	0.105213142	2.94E-26	6.42E-25	yes	1670	6766	2125	6766	250.9409433	-0.766843596	0.099966096	1.98E-15	2.31E-14	yes	2899	6766	3092	6766	250.9409433	1.769284984	0.114613956	1.85E-55	6.47E-54	yes	995	6766	949	6766	250.9409433	2.314732342	0.097740517	1.88E-126	1.79E-124	yes	494	6766	373	6766
Q9NYF5	ENSG00000031003	10	FAM13B	protein_coding	ensembl_havana	chr5:137937960-138051961:-	330.4819735	1.92251559	0.074650065	9.74E-149	4.71E-146	yes	172	5716	77	5716	330.4819735	1.782397697	0.075158465	1.87E-126	4.25E-124	yes	374	5716	201	5716	330.4819735	1.098420553	0.07802623	1.28E-46	4.64E-45	yes	1286	5716	809	5716	330.4819735	1.100218385	0.125140073	4.00E-19	4.66E-18	yes	3186	5716	2615	5716	330.4819735	0.649446287	0.125557134	1.59E-07	9.62E-07	yes	8509	5716	6005	8509
Q2M1Z3	ENSG00000031081	11	ARHGAP31	protein_coding	ensembl_havana	chr3:119294383-119420714:+	4.229284437	-0.093925293	0.407837487	0.604833854	0.595341272	no	17452	17307	16813	17452	4.229284437	-0.180994653	0.502586896	0.488331266	0.333738131	no	15707	17307	15750	17307	4.229284437	0.012236715	0.442825438	0.9580498	0.60624183	no	28086	17307	18785	28086	4.229284437	0.78947311	0.728726101	0.05922626	0.092416091	yes	5927	17307	11090	17307	4.229284437	2.940549005	0.938545405	9.71E-07	2.15E-06	yes	259	17307	6185	17307
Q6NZY4	ENSG00000033030	15	ZCCHC8	protein_coding	ensembl_havana	chr12:122471599-122501073:-	415.0934396	0.544270525	0.070192522	1.59E-15	2.48E-14	yes	3925	4846	2292	4846	415.0934396	0.296358519	0.071073795	2.34E-05	0.000143188	yes	11764	4846	7473	11764	415.0934396	0.226314107	0.071179606	0.001261282	0.006149257	yes	13178	4846	8998	13178	415.0934396	1.630473924	0.091720875	4.08E-72	1.74E-70	yes	1217	4846	714	4846	415.0934396	1.043176714	0.09395479	4.57E-29	7.29E-28	yes	4124	4846	2225	4846
Q96NW7	ENSG00000033122	21	LRRC7	protein_coding	ensembl_havana	chr1:69567922-70151945:+	5.954666338	0.241892782	0.266788006	0.207106517	0.261938327	no	10293	16424	13263	16424	5.954666338	-0.594981621	0.350348449	0.025348314	0.033145443	yes	5504	16424	10961	16424	5.954666338	-1.861002878	0.57151325	3.99E-06	7.95E-06	yes	258	16424	6025	16424	5.954666338	-0.548282512	0.680084833	0.172376203	0.197433333	no	9455	16424	12726	16424	5.954666338	-0.327496024	0.542735036	0.42466688	0.359095784	no	14832	16424	15616	16424
Q96HL8	ENSG00000035115	22	SH3YL1	protein_coding	ensembl_havana	chr2:217730-266398:-	499.9249835	-0.321122378	0.043093293	4.55E-14	4.97E-13	yes	7834	4113	2486	7834	499.9249835	-0.694811312	0.045095589	3.51E-54	1.97E-52	yes	4304	4113	838	4304	499.9249835	-1.39336549	0.049047942	5.45E-179	4.00E-176	yes	662	4113	75	4113	499.9249835	-1.806635497	0.122872257	1.04E-50	6.82E-49	yes	945	4113	1059	4113	499.9249835	-1.492209523	0.096902284	2.05E-54	9.11E-53	yes	1736	4113	1173	4113
Q9UIK4	ENSG00000035664	11	DAPK2	protein_coding	ensembl_havana	chr15:63907036-64072033:-	6.735580624	0.172337313	0.378064412	0.384342885	0.380142716	no	13149	16098	14512	16098	6.735580624	0.147804488	0.436450227	0.582509357	0.525522889	no	17116	16098	18031	18031	6.735580624	0.479263822	0.465120565	0.076030226	0.07895937	yes	6423	16098	11817	16098	6.735580624	1.548981006	0.762796017	0.001169698	0.002278822	yes	1412	16098	7610	16098	6.735580624	3.262046466	0.783617978	8.83E-09	2.46E-08	yes	205	16098	5355	16098
P16035	ENSG00000035862	12	TIMP2	protein_coding	ensembl_havana	chr17:78852977-78925387:-	4689.329722	0.066125093	0.041498762	0.107559199	0.216992371	no	19518	250	12743	19518	4689.329722	0.061280205	0.041758959	0.137212237	0.285819742	no	21590	250	15202	21590	4689.329722	-0.413022994	0.042005028	4.88E-23	1.38E-21	yes	7769	250	2097	7769	4689.329722	-1.71331535	0.058555458	8.76E-190	2.99E-187	yes	1070	250	200	1070	4689.329722	-1.97703121	0.056890706	3.04E-266	2.93E-263	yes	744	250	86	744
P41180	ENSG00000036828	17	CASR	protein_coding	ensembl_havana	chr3:122183668-122291629:+	41.03217921	-0.47641879	0.161645906	0.000766551	0.001825446	yes	4761	12149	7044	12149	41.03217921	-0.443951221	0.159657716	0.002844557	0.00442161	yes	8059	12149	9202	12149	41.03217921	-0.072666981	0.149863208	0.605624776	0.590376485	no	20536	12149	18611	20536	41.03217921	-0.960079511	0.349524869	0.001869807	0.003875363	yes	4228	12149	7913	12149	41.03217921	-1.655216478	0.407255391	2.47E-06	6.82E-06	yes	1292	12149	6451	12149
Q6P3S6	ENSG00000037637	11	FBXO42	protein_coding	ensembl_havana	chr1:16246840-16352480:-	477.0184077	0.568760595	0.061553613	4.07E-21	7.65E-20	yes	3674	4324	1618	4324	477.0184077	0.643992599	0.061502495	3.40E-26	7.49E-25	yes	4907	4324	2132	4907	477.0184077	0.417724562	0.062282565	1.17E-11	1.56E-10	yes	7660	4324	3969	7660	477.0184077	1.820311967	0.082944235	1.49E-108	2.39E-106	yes	925	4324	435	4324	477.0184077	1.59314382	0.079496139	2.24E-90	1.76E-88	yes	1434	4324	634	4324
Q9BV20	ENSG00000037757	14	MRI1	protein_coding	ensembl_havana	chr19:13764522-13774282:+	99.39014091	-0.477123139	0.112890841	5.61E-06	1.94E-05	yes	4745	9993	5212	9993	99.39014091	-0.423024985	0.11170261	8.73E-05	0.000359178	yes	8507	9993	7864	9993	99.39014091	-0.18289436	0.108161464	0.080646226	0.152401091	no	14945	9993	13110	14945	99.39014091	-0.939468854	0.229115896	1.54E-05	4.51E-05	yes	4424	9993	6088	9993	99.39014091	-1.843790233	0.274343644	5.79E-13	3.48E-12	yes	939	9993	4219	9993
O43897	ENSG00000038295	8	TLL1	protein_coding	ensembl_havana	chr4:165873237-166104457:+	2.290173382	0.152318905	0.47538809	0.348927162	0.398383106	no	14128	18948	14691	18948	2.290173382	0.048845392	0.559858156	0.8263597	0.48538892	no	22472	18948	17495	22472	2.290173382	-0.251143744	0.594536415	0.188817375	0.17309452	no	12304	18948	13387	18948	2.290173382	1.21939538	1.057474319	0.008753799	0.018546415	yes	2580	18948	9059	18948	2.290173382	1.914127603	1.274628345	0.000876642	0.0017925	yes	833	18948	8418	18948
